LocID	LineID	DTT	PH	EW	parent
BJ	MG_1539	76	250.6	78.095	male
BJ	5237	68	208.5	98.6	female
BJ	MG_1548	70	160.8	98.305	male
BJ	81515	68.5	190.9	90.87	female
BJ	MG_1547	65.5	210.7	126.4	male
BJ	MG_1520	69.5	240.2	135.35	male
BJ	MG_1532	73	204.2	55.84	male
BJ	CHANG7-2	72.5555555555556	201.520370372222	95.3877777777778	female
BJ	MG_1535	67.5	193.3	125.85	male
BJ	MG_1546	70.5	218.9	169.65	male
BJ	DAN340	74.5	224.3	109.78	female
BJ	MG_1529	61.5	201.4	86.88	male
BJ	MG_1533	72	172.5	142.02	male
BJ	MG_1534	69.5	221.9	147.96	male
BJ	E28	71.5	172.7	91.06	female
BJ	MG_1538	75.5	290.4	74.4	male
BJ	F349	73	161.46666665	88.39	female
BJ	H21	70	194.7	68.5	female
BJ	MG_1536	65	182.7	117.17	male
BJ	HUANGC	67.5	240.7	125.11	female
BJ	HYS	67	157.5	77.67	female
BJ	HZS	70	193.3	79.14	female
BJ	JI53	68.5	184.4	102.21	female
BJ	JI853	70	200.55	92.46	female
BJ	MG_1544	66.5	244.6	160.58	male
BJ	MG_1542	70.5	263.8	168.12	male
BJ	MG_1543	67.5	247.7	188.3	male
BJ	MG_1526	72.5	176.1	143.74	male
BJ	MG_1531	75	170	88.78	male
BJ	K12	76.5	208	68.65	female
BJ	MG_1527	67	218.2	127.57	male
BJ	MG_1528	68	179.5	119.26	male
BJ	MG_1530	55	163.5	35.715	male
BJ	LV28	68.5	178.9	93.7	female
BJ	LX9801	71	263.8	127.44	female
BJ	MG_1193	69.5	230.8	113.55	female
BJ	MG_1195	67	211.4	117.46	female
BJ	MG_1205	72.5	183.5	101.14	female
BJ	MG_1214	68	173.3	120.87	female
BJ	MG_156	63.5	222.6	109.96	female
BJ	MG_704	67.5	217.6	65.805	female
BJ	MG_1297	68	233	134.45	female
BJ	MG_885	74.5	290.83333335	83.395	female
BJ	MG_230	65.5	215.9	116.87	female
BJ	MG_891	70	227.8	142.63	female
BJ	MG_556	70	245.8	111.45	female
BJ	MG_52	71	170.5	75.86	female
BJ	MG_1093	70.5	203.4	103	female
BJ	MG_1224	71	245	NA	female
BJ	MG_68	70.5	224.6	120.78	female
BJ	MG_154	63	180.7	126.48	female
BJ	MG_371	68	238	129.02	female
BJ	MG_409	70.5	233.1	124.035	female
BJ	MG_400	73.5	197.3	100.39	female
BJ	MG_579	70.5	165.08333335	82.065	female
BJ	MG_401	68	248	110.31	female
BJ	MG_732	68.5	231.1	114.85	female
BJ	MG_162	68.5	151	108.63	female
BJ	MG_433	69.5	216.3	75.84	female
BJ	MG_806	70.5	176.5	123.65	female
BJ	MG_407	67	160.5	101.92	female
BJ	MG_793	74	226	106	female
BJ	MG_1300	71	230	111.71	female
BJ	MG_576	69	235.8	126.94	female
BJ	MG_53	67	191.1	111.79	female
BJ	MG_381	70	229.7	50.89	female
BJ	MG_721	70.5	176.3	73.11	female
BJ	MG_1315	69.5	197.2	113.82	female
BJ	MG_1059	68	197.5	100.11	female
BJ	MG_96	69.5	211.2	122.91	female
BJ	MG_1236	70	181.4	115.77	female
BJ	MG_363	68.5	258.3	119.08	female
BJ	MG_568	74	225.2	82.16	female
BJ	MG_218	69.5	215.8	130.66	female
BJ	MG_220	67.5	232.3	114.365	female
BJ	MG_149	64.5	205.5	90.66	female
BJ	MG_878	69.5	213.3	65.3	female
BJ	MG_369	66.5	165.8	87.77	female
BJ	MG_233	69.5	235.6	136.4	female
BJ	MG_240	69	211.4	122.51	female
BJ	MG_574	69	235.2	107.56	female
BJ	MG_1242	72	220	107.6	female
BJ	MG_128	66	203.5	137.85	female
BJ	MG_239	63.5	246.1	161.86	female
BJ	MG_127	67.5	190	120.98	female
BJ	MG_366	70.5	207.6	105.25	female
BJ	MG_163	71.5	231.6	112.45	female
BJ	MG_1246	69.5	231.8	132.835	female
BJ	MG_810	68	209.1	105.21	female
BJ	MG_161	63.5	218.8	108.44	female
BJ	MG_1061	69	220.8	106.85	female
BJ	MG_416	69	224.4	94.83	female
BJ	MG_365	69.5	250.7	95.41	female
BJ	MG_429	67	167.6	107.17	female
BJ	MG_552	69.5	166.6	113.35	female
BJ	MG_428	72.5	182	120	female
BJ	MG_896	67	142.7	107.88	female
BJ	MG_1303	67	232.3	114.93	female
BJ	MG_437	70	207.1	112.28	female
BJ	MG_438	70.5	189.7	136.97	female
BJ	MG_690	68.5	214	173.14	female
BJ	MG_219	66.5	222.6	105.21	female
BJ	MG_1272	66.5	204	104.86	female
BJ	MG_410	68	246.5	124.81	female
BJ	MG_120	67.5	194.7	80.395	female
BJ	MG_569	66.5	201.6	148.05	female
BJ	MG_1256	71	192.7	91.52	female
BJ	MG_413	65	225.1	107.94	female
BJ	MG_129	66.5	209	105.12	female
BJ	MG_412	72.5	247.05	95.43	female
BJ	MG_382	70	209.8	118.39	female
BJ	MG_1097	71.5	181.8	87.35	female
BJ	MG_56	70.5	214.2	89.39	female
BJ	MG_90	69	216.6	129.29	female
BJ	MG_477	72.5	234.41666665	123.435	female
BJ	MG_1274	72.5	245.1	150.8	female
BJ	MG_134	72	171	114.34	female
BJ	MG_458	67	197.8	116.87	female
BJ	MG_353	69.5	207.3	156.19	female
BJ	MG_779	63.5	212	104.83	female
BJ	MG_447	74.5	230.2	74.95	female
BJ	MG_340	64	217.66666665	112.425	female
BJ	MG_992	68	210.9	141.81	female
BJ	MG_620	70.5	243.7	113.55	female
BJ	MG_522	69.5	219.4	133.85	female
BJ	MG_675	68.5	233.5	120.08	female
BJ	MG_213	63	247.3	134.42	female
BJ	MG_606	72	217.8	75	female
BJ	MG_855	72	159.125	88.26	female
BJ	MG_324	67	231.3	91.21	female
BJ	MG_455	70	226.6	149.53	female
BJ	MG_813	68.5	217.5	100.98	female
BJ	MG_257	69.5	232.6	121.18	female
BJ	MG_511	67.5	201.1	104.34	female
BJ	MG_646	68	222.1	104.86	female
BJ	MG_119	63	195	139.26	female
BJ	MG_115	62.5	181.2	76.98	female
BJ	MG_307	67.75	211.783333325	88.735	female
BJ	MG_1166	74	178.5	127.39	female
BJ	MG_457	65.5	177	80.94	female
BJ	MG_651	63	216.5	94.115	female
BJ	MG_113	71	186.75	60.96	female
BJ	MG_631	67	202.1	144.79	female
BJ	MG_316	70.5	213.3	142.36	female
BJ	MG_199	69.5	221.5	130.88	female
BJ	MG_338	72	203.3	107.155	female
BJ	MG_270	68	166.7	112.5	female
BJ	MG_298	68.5	186.5	122.26	female
BJ	MG_909	68.5	202.6	115.2	female
BJ	MG_480	64.5	203.1	111.27	female
