seqname	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_1265_X_MG_1542	64.1058259972565	312.663484190557	226.069161528572	67.5821581123911	212.425184961381	104.231674759699	71.3548494559717	235.416029005854	143.374649106358	-0.0771958152947296	0.396314025771787	0.826037057525756
MG_1188_X_MG_1542	62.9724298953312	309.462376250405	229.952399728964	69.3272538170001	195.191509624545	113.237541029849	71.3548494559717	235.416029005854	143.374649106358	-0.104755637991238	0.437329115206337	0.792217272350996
MG_1189_X_MG_1542	NA	NA	NA	67.756667682852	204.121686844542	97.7939027656332	71.3548494559717	235.416029005854	143.374649106358	NA	NA	NA
MG_1190_X_MG_1542	63.8224769717751	321.291155465021	239.978214719065	68.4547059646956	207.05233323872	81.2630136622262	71.3548494559717	235.416029005854	143.374649106358	-0.0870083696390818	0.452267248375275	1.13658040919242
MG_1191_X_MG_1542	62.8307553825905	305.027591950447	231.529229786092	67.0586294010084	216.035962499869	76.9789595842038	71.3548494559717	235.416029005854	143.374649106358	-0.0921295252247468	0.351317959338674	1.10143352007658
MG_1192_X_MG_1542	63.1141044080718	321.460483592837	229.481704189522	65.6625528373212	234.90268985258	89.1244737319423	71.3548494559717	235.416029005854	143.374649106358	-0.0787432347757875	0.366989961076147	0.974043612621482
MG_1194_X_MG_1542	64.5308495354785	315.146963398533	238.33078033102	70.5488208102264	212.15331682104	102.07016293083	71.3548494559717	235.416029005854	143.374649106358	-0.0904978086271537	0.408259820905707	0.942031517006845
MG_1196_X_MG_1542	64.3891750227378	314.75992767781	228.6579869955	68.6292155351565	181.082013934334	98.7499560670621	71.3548494559717	235.416029005854	143.374649106358	-0.0800499324431162	0.511459335826996	0.888762910582551
MG_1197_X_MG_1542	63.5391279462938	310.139688761672	238.307245554048	66.7096102600866	208.102942323426	105.187728061128	71.3548494559717	235.416029005854	143.374649106358	-0.0795730041320177	0.398540801229521	0.917484442092152
MG_1198_X_MG_1542	62.9724298953312	310.841191005483	222.735068128118	65.8370624077821	232.303814748309	84.2000198172574	71.3548494559717	235.416029005854	143.374649106358	-0.0819804310640478	0.329176835904629	0.957468018577043
MG_1199_X_MG_1542	62.8307553825905	310.486408261487	222.468340651846	68.6292155351565	210.82162372683	92.3459577004368	71.3548494559717	235.416029005854	143.374649106358	-0.102315604471516	0.391574226693425	0.887559544882635
MG_1200_X_MG_1542	62.6890808698498	310.704115854394	222.444805874874	66.011571978243	225.281322445277	70.8304163411658	71.3548494559717	235.416029005854	143.374649106358	-0.0872721263999465	0.348842639862028	1.07693319866302
MG_1201_X_MG_1542	62.5474063571092	319.976846663397	234.847633339154	63.9174571327122	210.97829350262	86.7070617710097	71.3548494559717	235.416029005854	143.374649106358	-0.0752370838579083	0.4336062558561	1.04142808607961
MG_1427_X_MG_1542	64.1058259972565	320.621906197936	235.859628748953	68.8037251056174	230.110437887257	85.6938531036627	71.3548494559717	235.416029005854	143.374649106358	-0.0852386135093456	0.377459409935348	1.05929341200045
MG_1202_X_MG_1542	62.5474063571092	314.776054166173	224.963027010885	68.4547059646956	220.350832442492	83.8012312719578	71.3548494559717	235.416029005854	143.374649106358	-0.105248476487707	0.381302945834503	0.980518588824256
MG_1203_X_MG_1542	63.5391279462938	293.83580902619	236.212650403534	67.5821581123911	186.252116535384	102.583260542381	71.3548494559717	235.416029005854	143.374649106358	-0.0853534409825271	0.393682743803343	0.92075669158904
MG_1204_X_MG_1542	63.8224769717751	307.107908949337	228.607560090198	68.4547059646956	219.088258367013	90.6183070292591	71.3548494559717	235.416029005854	143.374649106358	-0.0870083696390818	0.351397192420283	0.953969588364038
MG_1206_X_MG_1542	62.9724298953312	294.795335083817	220.46788460922	69.1527442465392	211.752426512403	114.808014464236	71.3548494559717	235.416029005854	143.374649106358	-0.103643749978961	0.318497901387774	0.70784421819971
MG_1207_X_MG_1542	62.8307553825905	314.050362189816	224.963027010885	67.0586294010084	208.623638931196	110.669446753765	71.3548494559717	235.416029005854	143.374649106358	-0.0921295252247468	0.414514895251826	0.771054952087924
MG_1415_X_MG_1542	64.1058259972565	326.814477729514	216.514042077913	70.3743112397655	246.710061425604	74.0068808214568	71.3548494559717	235.416029005854	143.374649106358	-0.0953756350130618	0.355722016359021	0.992018752925422
MG_1208_X_MG_1542	64.1058259972565	314.655105503447	234.471076907601	67.9311772533129	213.798349466829	94.276250105084	71.3548494559717	235.416029005854	143.374649106358	-0.0795081529454914	0.400912885171957	0.973239551675234
MG_1209_X_MG_1542	64.5308495354785	313.042456667099	240.566584143366	66.011571978243	217.272732141689	94.1256841282162	71.3548494559717	235.416029005854	143.374649106358	-0.0604567133404934	0.383036132258076	1.02582102405527
MG_1442_X_MG_1542	63.8224769717751	320.581589977027	238.424919438908	67.756667682852	207.015469762064	104.126456936552	71.3548494559717	235.416029005854	143.374649106358	-0.0824271306295269	0.449180679358417	0.926657405705262
MG_1210_X_MG_1542	63.1141044080718	300.004190825222	220.044258623723	63.3939284213295	204.241493143675	91.4574516383018	71.3548494559717	235.416029005854	143.374649106358	-0.0632329969546455	0.364717652769692	0.874056041963223
MG_1211_X_MG_1542	64.1058259972565	311.018582377482	220.285490087686	70.0252920988437	208.784916641568	50.7643701351662	71.3548494559717	235.416029005854	143.374649106358	-0.093142427327368	0.400350834121584	1.26935822534092
MG_1450_X_MG_1542	61.9807083061465	291.819997980754	214.654794697119	66.011571978243	180.547493522817	72.0710725316104	71.3548494559717	235.416029005854	143.374649106358	-0.097585746807428	0.403103792403527	0.99265776145531
MG_1212_X_MG_1542	64.6725240482191	NA	233.035455512305	70.7233303806873	190.850835248262	122.99811786382	71.3548494559717	235.416029005854	143.374649106358	-0.0896206001150881	NA	0.749694296177017
MG_1213_X_MG_1542	63.8224769717751	310.204194715126	225.192491086363	70.8127352714016	208.88387810752	53.4145934354594	71.3548494559717	235.416029005854	143.374649106358	-0.10215149122546	0.396372989274426	1.2886666789066
MG_1215_X_MG_1542	64.5308495354785	302.26189919611	220.420815055276	66.3605911191648	181.621142280432	80.2108354307505	71.3548494559717	235.416029005854	143.374649106358	-0.0628378449652352	0.449568144076128	0.971691637421057
MG_1216_X_MG_1542	63.5391279462938	297.020790477978	224.139309816863	67.9311772533129	186.316627619533	100.515537124384	71.3548494559717	235.416029005854	143.374649106358	-0.0876453374765069	0.408573824254796	0.838034676842693
MG_1217_X_MG_1542	62.4057318443685	307.841664169875	223.174383961008	64.9645145554776	212.932057765405	111.037059641527	71.3548494559717	235.416029005854	143.374649106358	-0.0844186767313979	0.373226175165688	0.754434849397342
MG_1218_X_MG_1542	62.9724298953312	306.720873228613	231.976390548561	66.011571978243	213.153238625343	103.488655065116	71.3548494559717	235.416029005854	143.374649106358	-0.0831466782369528	0.367551882670623	0.879391441568226
MG_432_X_MG_1542	63.9641514845158	320.331629407393	237.554132690942	64.9645145554776	193.348335791728	101.241410210751	71.3548494559717	235.416029005854	143.374649106358	-0.0615544321473869	0.494208267791193	0.942261136526509
MG_686_X_MG_1542	62.6890808698498	306.51929212407	224.209914147779	66.1860815487039	206.746366382473	78.66374373484	71.3548494559717	235.416029005854	143.374649106358	-0.0884301798463363	0.386455724507603	1.01955987231572
