seqname	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_1265_X_MG_1522	61.8643314453465	271.718500637934	230.241391528409	67.5821581123911	212.425184961381	104.231674759699	68.8675635466986	167.41828375895	117.839506937584	-0.0932289096212259	0.430686706570666	1.07358190080029
MG_1188_X_MG_1522	62.0234956464324	248.859335109143	237.054644340321	69.3272538170001	195.191509624545	113.237541029849	68.8675635466986	167.41828375895	117.839506937584	-0.102375952591622	0.372601290147451	1.05173682479906
MG_1189_X_MG_1522	NA	NA	NA	67.756667682852	204.121686844542	97.7939027656332	68.8675635466986	167.41828375895	117.839506937584	NA	NA	NA
MG_1190_X_MG_1522	61.7051672442606	260.987961307122	225.239662405311	68.4547059646956	207.05233323872	81.2630136622262	68.8675635466986	167.41828375895	117.839506937584	-0.101308659348356	0.393903550562131	1.26254958226306
MG_1191_X_MG_1522	62.1826598475183	264.265005683669	229.680300120369	67.0586294010084	216.035962499869	76.9789595842038	68.8675635466986	167.41828375895	117.839506937584	-0.0850525789177224	0.378339180029832	1.35789044253341
MG_1192_X_MG_1522	60.7501820377453	275.939476275116	228.031760126271	65.6625528373212	234.90268985258	89.1244737319423	68.8675635466986	167.41828375895	117.839506937584	-0.0968537949624264	0.371737962344243	1.20358885047138
MG_1194_X_MG_1522	63.1376450540336	267.595480131572	242.061717191114	70.5488208102264	212.15331682104	102.07016293083	68.8675635466986	167.41828375895	117.839506937584	-0.094257890200443	0.409986836331711	1.20146496819312
MG_1196_X_MG_1522	62.3418240486042	255.983344623375	232.939974014696	68.6292155351565	181.082013934334	98.7499560670621	68.8675635466986	167.41828375895	117.839506937584	-0.0931885900906721	0.469056676953927	1.15098159239352
MG_1197_X_MG_1522	NA	NA	NA	66.7096102600866	208.102942323426	105.187728061128	68.8675635466986	167.41828375895	117.839506937584	NA	NA	NA
MG_1198_X_MG_1522	60.7501820377453	272.991917338603	230.944091720383	65.8370624077821	232.303814748309	84.2000198172574	68.8675635466986	167.41828375895	117.839506937584	-0.0980238190442851	0.365908556760193	1.28612782290482
MG_1199_X_MG_1522	62.9784808529478	265.547327396231	221.002086342687	68.6292155351565	210.82162372683	92.3459577004368	68.8675635466986	167.41828375895	117.839506937584	-0.0839279105519234	0.404121152426066	1.10292454545603
MG_1200_X_MG_1522	61.5460030431747	269.242907331738	223.38806075878	66.011571978243	225.281322445277	70.8304163411658	68.8675635466986	167.41828375895	117.839506937584	-0.0873903097963773	0.371241035529411	1.36803044042941
MG_1201_X_MG_1522	61.0685104399171	273.641983206776	222.065488154115	63.9174571327122	210.97829350262	86.7070617710097	68.8675635466986	167.41828375895	117.839506937584	-0.0801897664743721	0.446323775902542	1.17129516819693
MG_1427_X_MG_1522	64.092630260549	263.650559863066	210.437118233848	68.8037251056174	230.110437887257	85.6938531036627	68.8675635466986	167.41828375895	117.839506937584	-0.0689034600030122	0.326447853987818	1.06783908241089
MG_1202_X_MG_1522	61.5460030431747	269.198382272274	225.29042781842	68.4547059646956	220.350832442492	83.8012312719578	68.8675635466986	167.41828375895	117.839506937584	-0.103626771358189	0.388446738148317	1.23457253547943
MG_1203_X_MG_1522	61.8643314453465	250.38209214281	230.448015670426	67.5821581123911	186.252116535384	102.583260542381	68.8675635466986	167.41828375895	117.839506937584	-0.0932289096212259	0.415906402879264	1.09096381744116
MG_1204_X_MG_1522	62.1826598475183	260.195415248664	228.798585050592	68.4547059646956	219.088258367013	90.6183070292591	68.8675635466986	167.41828375895	117.839506937584	-0.0943543233188592	0.346395917737744	1.1951547960393
MG_1206_X_MG_1522	61.7051672442606	261.967512615329	235.780165284916	69.1527442465392	211.752426512403	114.808014464236	68.8675635466986	167.41828375895	117.839506937584	-0.105853794548866	0.381791923895452	1.02693038691511
MG_1207_X_MG_1522	61.3868388420888	276.2066266319	241.757124712464	67.0586294010084	208.623638931196	110.669446753765	68.8675635466986	167.41828375895	117.839506937584	-0.0967621837874133	0.469020393555912	1.11595318964183
MG_1415_X_MG_1522	63.9334660594631	287.248841378959	213.168181540912	70.3743112397655	246.710061425604	74.0068808214568	68.8675635466986	167.41828375895	117.839506937584	-0.0816919671972392	0.387245498740001	1.2222798566179
